ID	 Verso	 Emozione	 Emozione Sec.	 Fiducia
ZAP1590034_00	Dovrei... Ma no..	Paura		totalmente sicura
ZAP1590034_01	L'amor... oh dio, la fé..	Ammirazione	Amore	totalmente sicura
ZAP1590034_02	Ah che parlar non so	Tristezza		forti dubbi
ZAP1590034_03	Spiegalo tu per me	Rabbia		totalmente sicura
ZAP1590037_00	Quando saprai chi sono sì fiero non sarai né parlerai così	Rabbia		abbastanza sicura
ZAP1590037_01	     Brama lasciar le sponde quel passaggiero ardente, fra l'onde poi si pente, se ad onta del nocchiero dal lido si partì	Ammirazione		abbastanza sicura
ZAP1590040_00	Tu mi scorgi al gran disegno  e al tuo sdegno, al tuo desio  l'ardir mio ti scorgerà	Amore		totalmente sicura
ZAP1590040_01	      Così rende il fiumicello, mentre lento il prato ingombra, alimento all'arboscello e per l'ombra umor gli dà	Gioia		abbastanza sicura
ZAP1590043_00	Fra lo splendor del trono belle le colpe sono, perde l'orror l'inganno, tutto si fa virtù	Gioia	Ammirazione	abbastanza sicura
ZAP1590043_01	     Fuggir con frode il danno può dubitar se lice quell'anima infelice che nacque in servitù	Tristezza		abbastanza sicura
ZAP1590046_00	Son regina e sono amante e l'impero io sola voglio del mio soglio e del mio cor	Amore	Gioia	totalmente sicura
ZAP1590046_01	     Darmi legge invan pretende chi l'arbitrio a me contende della gloria e dell'amor	Rabbia		abbastanza sicura
ZAP1590049_00	Se dalle stelle tu non sei guida, fra le procelle dell'onda infida mai per quest'alma calma non v'è	Amore		totalmente sicura
ZAP1590049_01	     Tu m'assicuri ne' miei perigli, nelle sventure tu mi consigli e sol contento sento per te	Amore		totalmente sicura
ZAP1590052_00	Dirò che fida sei, su la mia fé riposa	Gioia	Amore	forti dubbi
ZAP1590052_01	Sarò per te pietosa, (per me crudel sarò)	Tristezza		totalmente sicura
ZAP1590052_02	     Sapranno i labri miei  scoprirgli il tuo desio	Amore	Ammirazione	totalmente sicura
ZAP1590052_03	(Ma la mia pena, oh dio,  come nasconderò?.)	Paura		totalmente sicura
ZAP1590067_00	Ogni amator suppone che della sua ferita sia la beltà cagione ma la beltà non è	Tristezza		abbastanza sicura
ZAP1590067_01	    È un bel desio che nasce allor che men s'aspetta, si sente che diletta ma non si sa perché	Gioia		forti dubbi
ZAP1590073_00	Son quel fiume che gonfio d'umori, quando il gielo si scioglie in torrenti, selve, armenti, capanne e pastori porta seco e ritegno non ha	Gioia		forti dubbi
ZAP1590073_01	     Se si vede fra gli argini stretto sdegna il letto, confonde le sponde e superbo fremendo sen va	Ammirazione		abbastanza sicura
ZAP1590079_00	Infelice e sventurato potrà farmi ingiusto fato ma infedele io non sarò	Rabbia		totalmente sicura
ZAP1590079_01	     La mia fede e l'onor mio pur fra l'onde dell'oblio agli Elisi io porterò	Amore	Gioia	totalmente sicura
ZAP1590083_00	Tu mi disarmi il fianco.  Tu mi vorresti oppresso.  Ma sono ancor l'istesso, ma non son vinto ancor	Rabbia		totalmente sicura
ZAP1590083_01	     Soffro per or lo scorno	Tristezza		totalmente sicura
ZAP1590083_02	Ma forse questo è il giorno che domerò quell'alma, (A Didone) che punirò quel cor	Rabbia		abbastanza sicura
ZAP1590095_00	Non ha ragione ingrato un core abandonato da chi giurogli fé?	Tristezza	Rabbia	abbastanza sicura
ZAP1590095_01	     Anime innamorate, se lo provaste mai ditelo voi per me	Tristezza		totalmente sicura
ZAP1590095_02	    Perfido tu lo sai se in premio un tradimento io meritai da te	Rabbia		totalmente sicura
ZAP1590095_03	     E qual sarà tormento, anime innamorate, se questo mio non è!	Tristezza		totalmente sicura
ZAP1590099_00	Se resto sul lido, se sciolgo le vele infido, crudele mi sento chiamar	Tristezza		abbastanza sicura
ZAP1590099_01	     E intanto confuso nel dubbio funesto, non parto, non resto ma provo il martire che avrei nel partire, che avrei nel restar	Paura	Tristezza	totalmente sicura
ZAP1590171_00	Pensa che il trono aspetto, che n'ho tua fede in pegno e che donando un regno ti fai soggetto un re	Ammirazione		forti dubbi
ZAP1590171_01	     Un re che tuo seguace ti sarà fido in pace	Ammirazione		abbastanza sicura
ZAP1590171_02	E se guerrier lo vuoi contro i nemici tuoi combatterà per te	Amore	Ammirazione	totalmente sicura
